Fast Wheels|235 Elm Street|817-123-4567
7HGCM82633A004352|2015|Toyota|Camry|Sedan|White|85500.0|12495.0
2FMDK3GC2BBB12345|2017|Chevrolet|Malibu|Sedan|Black|60421.0|13995.0
1N4AL3AP7JC123456|2020|Nissan|Altima|Sedan|Silver|41322.0|15450.0

Prime Motors|489 Maple Ave|682-987-3210
1GCHK23U45F123456|2012|GMC|Sierra|Truck|Blue|129500.0|10995.0
3FAHP0HA7CR123456|2014|Ford|Fusion|Sedan|Gray|87200.0|9990.0
1FTFW1ET1EFA12345|2016|Ford|F-150|Truck|Red|102300.0|18750.0

Auto Galaxy|1100 Jupiter Rd|214-555-1284
5FNYF4H90EB123456|2018|Honda|Pilot|SUV|Black|60300.0|20900.0
WBA3A5C54DF123456|2013|BMW|328i|Sedan|White|72000.0|15900.0
1C4PJMCB7GW123456|2017|Jeep|Cherokee|SUV|Gray|68000.0|17995.0

Speedy Auto|99 Fast Ln|469-404-7654
1G1ZE5ST2GF123456|2016|Chevrolet|Malibu|Sedan|Red|79000.0|12950.0
JN1BJ1CP4HW123456|2018|Nissan|Rogue|SUV|White|50200.0|17200.0
1FADP3F2XFL123456|2015|Ford|Focus|Sedan|Blue|88450.0|8900.0

Value Cars|3000 Budget Blvd|817-888-2211
3CZRM3H54EG123456|2014|Honda|CR-V|SUV|Silver|96000.0|12995.0
1J4FA49S33P123456|2011|Jeep|Wrangler|SUV|Green|113500.0|15995.0
WDDGF8AB1DA123456|2013|Mercedes|C300|Sedan|Black|87500.0|16950.0
DriveTime Hub|742 Sunset Dr|972-333-1212
4T1BF1FK9GU123456|2016|Toyota|Camry|Sedan|Gray|65400.0|13900.0
KMHDH4AE1FU123456|2015|Hyundai|Elantra|Sedan|Blue|73450.0|10995.0
1C4RJFAG3FC123456|2017|Jeep|Grand Cherokee|SUV|White|61800.0|21950.0
MotorLand|876 Broadway St|682-111-8888
2C3CDXBG5EH123456|2014|Dodge|Charger|Sedan|Red|98600.0|14400.0
1HGCR2F3XDA123456|2013|Honda|Accord|Sedan|Gray|72000.0|11795.0
1FTEX1CM6BK123456|2012|Ford|F-150|Truck|Black|134000.0|12500.0
Ride Ready|321 Quickstop Rd|817-444-6767
5YJSA1DNXDF123456|2015|Tesla|Model S|Sedan|White|49000.0|34500.0
1G1JC5SH9E1234567|2014|Chevrolet|Sonic|Hatchback|Orange|75300.0|6950.0
3N1AB7AP0EY123456|2016|Nissan|Sentra|Sedan|Black|67000.0|8750.0
Reliable Autos|5678 Faith Pkwy|214-321-9090
1C6RR7LT0ES123456|2015|RAM|1500|Truck|Silver|92000.0|18900.0
WAUFFAFL6CN123456|2012|Audi|A4|Sedan|Blue|84200.0|13500.0
2HGFB2F50DH123456|2013|Honda|Civic|Sedan|Gray|96300.0|10200.0
Budget Ride|1050 Cheap Ave|972-222-3456
JN8AS5MT4CW123456|2012|Nissan|Rogue|SUV|Red|110000.0|8950.0
1G11B5SL1FF123456|2015|Chevrolet|Impala|Sedan|Green|74300.0|11300.0
5NPE24AF1FH123456|2016|Hyundai|Sonata|Sedan|White|69000.0|10750.0
